FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2017,2,GBV,GBU,0,0,74676412107030,74676412107030,74676412107030,74676412107030,7664417,0.000313562
2017,2,GBV,GBU,0,0,74676412107031,74676412107031,74676412107031,74676412107031,7664417,0.000022873
2017,2,GBV,GBU,0,0,75070611000000,75070611000000,75070611000000,75070611000000,7664417,0.00116141
2017,2,GBV,GBU,0,0,75073411000000,75073411000000,75073411000000,75073411000000,7664417,0.002350989
2017,2,GBV,GBU,0,0,76076412100000,76076412100000,76076412100000,76076412100000,7664417,0.002661819
2017,2,GBV,GBU,0,0,76270611000000,76270611000000,76270611000000,76270611000000,7664417,0.000001972
2017,2,GBV,GBU,0,0,76273411000000,76273411000000,76273411000000,76273411000000,7664417,0.00192437
2017,2,GBV,GBU,0,0,77170611000000,77170611000000,77170611000000,77170611000000,7664417,0
2017,4,SV,BUT,0,0,71070611000000,71070611000000,71070611000000,71070611000000,7664417,0.006121586
2017,4,SV,BUT,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,22.312808628
2017,4,SV,BUT,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.030607282
2017,4,SV,BUT,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.006554874
2017,4,SV,BUT,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,2.624137035
2017,4,SV,BUT,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.000580371
2017,4,SV,BUT,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.004386083
2017,4,SV,BUT,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,14.461912368
2017,4,SV,BUT,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.001402646
2017,4,SV,BUT,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.005764735
2017,4,SV,BUT,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,15.515007509
2017,4,SV,BUT,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.00978275
2017,4,SV,BUT,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.000661571
2017,4,SV,BUT,0,0,73273411000000,73273411000000,73273411000000,73273411000000,7664417,3.624896792
2017,4,SV,BUT,0,0,73370611000000,73370611000000,73370611000000,73370611000000,7664417,0.000018244
2017,4,SV,BUT,0,0,73373411000000,73373411000000,73373411000000,73373411000000,7664417,0.335124673
2017,4,SV,BUT,0,0,73470611000000,73470611000000,73470611000000,73470611000000,7664417,0.000250179
2017,4,SV,BUT,0,0,73473411000000,73473411000000,73473411000000,73473411000000,7664417,0.108827416
2017,4,SV,BUT,0,0,73670611000000,73670611000000,73670611000000,73670611000000,7664417,0.000018637
2017,4,SV,BUT,0,0,73673411000000,73673411000000,73673411000000,73673411000000,7664417,0.012379676
2017,4,SV,BUT,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.183910475
2017,4,SV,BUT,0,0,74376412100000,74376412100000,74376412100000,74376412100000,7664417,0.03767183
2017,4,SV,BUT,0,0,74476412107000,74476412107000,74476412107000,74476412107000,7664417,0.02521535
2017,5,MC,CAL,0,0,75070611000000,75070611000000,75070611000000,75070611000000,7664417,0.009253845
2017,5,MC,CAL,0,0,75073411000000,75073411000000,75073411000000,75073411000000,7664417,0.013664579
2017,5,MC,CAL,0,0,76076412100000,76076412100000,76076412100000,76076412100000,7664417,0.002090292
2017,5,MC,CAL,0,0,76270611000000,76270611000000,76270611000000,76270611000000,7664417,0.000000001
2017,5,MC,CAL,0,0,76273411000000,76273411000000,76273411000000,76273411000000,7664417,0.007187389
2017,5,MC,CAL,0,0,77170611000000,77170611000000,77170611000000,77170611000000,7664417,0
2017,5,MC,CAL,0,0,77173411000000,77173411000000,77173411000000,77173411000000,7664417,0.003891488
2017,5,MC,CAL,0,0,77276412100000,77276412100000,77276412100000,77276412100000,7664417,0.016107845
2017,5,MC,CAL,0,0,77770611000000,77770611000000,77770611000000,77770611000000,7664417,0
2017,5,MC,CAL,0,0,77773411000000,77773411000000,77773411000000,77773411000000,7664417,0.011941456
2017,5,MC,CAL,0,0,77876412100000,77876412100000,77876412100000,77876412100000,7664417,0.004321071
2017,5,MC,CAL,0,0,77976412100000,77976412100000,77976412100000,77976412100000,7664417,0.012255777
2017,5,MC,CAL,0,0,78070611000000,78070611000000,78070611000000,78070611000000,7664417,0.000118518
2017,5,MC,CAL,0,0,78073411000000,78073411000000,78073411000000,78073411000000,7664417,0.044480514
2017,5,MC,CAL,0,0,78076412100000,78076412100000,78076412100000,78076412100000,7664417,0.007112625
2017,1,SF,BA,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.009305214
2017,1,SF,BA,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,104.582620872
2017,1,SF,BA,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.013013268
2017,1,SF,BA,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.013630971
2017,1,SF,BA,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,91.667870932
2017,1,SF,BA,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.075972487
2017,1,SF,BA,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.001015918
2017,1,SF,BA,0,0,73273411000000,73273411000000,73273411000000,73273411000000,7664417,17.057965001
2017,1,SF,BA,0,0,73370611000000,73370611000000,73370611000000,73370611000000,7664417,0.00007305
2017,1,SF,BA,0,0,73373411000000,73373411000000,73373411000000,73373411000000,7664417,2.454229087
2017,1,SF,BA,0,0,73470611000000,73470611000000,73470611000000,73470611000000,7664417,0.000280994
2017,1,SF,BA,0,0,73473411000000,73473411000000,73473411000000,73473411000000,7664417,1.246235531
2017,1,SF,BA,0,0,73670611000000,73670611000000,73670611000000,73670611000000,7664417,0.000093675
2017,1,SF,BA,0,0,73673411000000,73673411000000,73673411000000,73673411000000,7664417,0.151641446
2017,1,SF,BA,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.364960498
2017,1,SF,BA,0,0,74376412100000,74376412100000,74376412100000,74376412100000,7664417,0.141483905
2017,1,SF,BA,0,0,74476412107000,74476412107000,74476412107000,74476412107000,7664417,0.030824356
2017,1,SF,BA,0,0,74476412107001,74476412107001,74476412107001,74476412107001,7664417,0.010067151
2017,1,SF,BA,0,0,74476412107004,74476412107004,74476412107004,74476412107004,7664417,0.030903668
2017,1,SF,BA,0,0,74476412107005,74476412107005,74476412107005,74476412107005,7664417,0.259983318
2017,1,SF,BA,0,0,74476412107006,74476412107006,74476412107006,74476412107006,7664417,0.438033427
2017,1,SF,BA,0,0,74476412107007,74476412107007,74476412107007,74476412107007,7664417,1.693097677
2017,1,SF,BA,0,0,74476412107008,74476412107008,74476412107008,74476412107008,7664417,4.370704561
2017,1,SF,BA,0,0,74476412107009,74476412107009,74476412107009,74476412107009,7664417,0.005768099
2017,1,SF,BA,0,0,74476412107010,74476412107010,74476412107010,74476412107010,7664417,0.01770664
2017,1,SF,BA,0,0,74476412107011,74476412107011,74476412107011,74476412107011,7664417,0.146733989
2017,1,SF,BA,0,0,74476412107012,74476412107012,74476412107012,74476412107012,7664417,0.027328657
2017,1,SF,BA,0,0,74676412107013,74676412107013,74676412107013,74676412107013,7664417,0.036558655
2017,1,SF,BA,0,0,74676412107016,74676412107016,74676412107016,74676412107016,7664417,2.45542874
2017,2,GBV,GBU,0,0,77173411000000,77173411000000,77173411000000,77173411000000,7664417,0.000611075
2017,2,GBV,GBU,0,0,77276412100000,77276412100000,77276412100000,77276412100000,7664417,0.001594537
2017,2,GBV,GBU,0,0,77770611000000,77770611000000,77770611000000,77770611000000,7664417,0.000010988
2017,2,GBV,GBU,0,0,77773411000000,77773411000000,77773411000000,77773411000000,7664417,0.003928056
2017,2,GBV,GBU,0,0,77876412100000,77876412100000,77876412100000,77876412100000,7664417,0.000596398
2017,2,GBV,GBU,0,0,77976412100000,77976412100000,77976412100000,77976412100000,7664417,0.001861739
2017,2,GBV,GBU,0,0,78070611000000,78070611000000,78070611000000,78070611000000,7664417,0.000011727
2017,2,GBV,GBU,0,0,78073411000000,78073411000000,78073411000000,78073411000000,7664417,0.003807988
