REGION,Day,DOW,LD,LM,HH,SBUS
55,6,fri,1.098593,1.020033,0.970183,1
55,7,sat,0.992511,0.670365,0.502878,0
55,8,holi,0.942483,0.584816,0.566772,0
56,1,sun,1.037731,0.628665,0.412535,0
56,2,mon,1.064247,0.969695,0.935198,1
56,3,tuth,1,1,1,1
56,6,fri,1.1131,1.094418,1.047115,1
56,7,sat,0.98971,0.725277,0.563488,0
56,8,holi,0.966576,0.713716,0.668631,0
57,1,sun,0.809904,0.38788,0.30137,0
57,2,mon,1.043798,0.951756,0.912445,1
57,3,tuth,1,1,1,1
57,6,fri,1.080395,1.010784,0.99609,1
57,7,sat,0.829239,0.541504,0.561974,0
57,8,holi,0.810892,0.53529,0.545196,0
58,1,sun,0.771515,0.4056,0.490792,0
58,2,mon,0.95641,0.923773,0.931848,1
58,3,tuth,1,1,1,1
58,6,fri,1.03552,0.992138,1.004107,1
58,7,sat,0.88804,0.553989,0.63718,0
58,8,holi,0.817053,0.785122,0.863436,0
59,1,sun,0.858085,0.489472,0.398032,0
59,2,mon,0.972675,0.935751,0.878334,1
59,3,tuth,1,1,1,1
59,6,fri,1.047334,1.004693,0.917539,1
59,7,sat,0.979063,0.640535,0.509276,0
59,8,holi,0.863476,0.807665,0.801106,0
60,1,sun,0.80821,0.414634,0.327051,0
60,2,mon,0.962022,0.919607,0.890692,1
60,3,tuth,1,1,1,1
60,6,fri,1.037564,1.024591,0.988233,1
60,7,sat,0.939825,0.587434,0.433132,0
60,8,holi,0.830532,0.773908,0.796038,0
61,1,sun,0.893673,0.488924,0.38298,0
61,2,mon,0.974134,0.941275,0.887064,1
61,3,tuth,1,1,1,1
61,6,fri,1.08452,1.028473,0.977131,1
61,7,sat,1.010703,0.628996,0.490992,0
61,8,holi,0.932658,0.847843,0.843612,0
62,1,sun,0.890254,0.559683,0.531647,0
62,2,mon,0.98753,0.930754,0.913273,1
62,3,tuth,1,1,1,1
62,6,fri,1.093594,1.068981,1.012157,1
62,7,sat,0.969811,0.742628,0.63448,0
62,8,holi,0.941549,0.818351,0.830675,0
63,1,sun,1.081633,0.608327,0.396226,0
63,2,mon,1.003945,0.930892,0.948242,1
63,3,tuth,1,1,1,1
63,6,fri,1.109219,1.161369,0.983072,1
63,7,sat,1.065213,0.686505,0.52206,0
63,8,holi,1.023563,0.813647,0.672726,0
64,1,sun,0.893673,0.488924,0.38298,0
64,2,mon,0.974134,0.941275,0.887064,1
64,3,tuth,1,1,1,1
64,6,fri,1.08452,1.028473,0.977131,1
64,7,sat,1.010703,0.628996,0.490992,0
64,8,holi,0.932658,0.847843,0.843612,0
65,1,sun,1.113685,0.629817,0.416305,0
