REGION,Day,DOW,LD,LM,HH,SBUS
47,6,fri,1.047408,1.022462,0.9404443,1.0
47,7,sat,0.924107,0.665289,0.5745369,0.0
47,8,holi,0.78811,0.826536,0.54039115,0.0
48,1,sun,0.850307,0.44318,0.6519191,0.0
48,2,mon,1.014799,0.933575,0.9529062,1.0
48,3,tuth,1.0,1.0,1.0,1.0
48,6,fri,1.154639,1.026093,1.0584054,1.0
48,7,sat,0.94527,0.562842,0.75999534,0.0
48,8,holi,0.800321,0.775224,0.73578084,0.0
49,1,sun,1.113413,0.6297,0.6197133,0.0
49,2,mon,1.061219,0.94165,0.9462748,1.0
49,3,tuth,1.0,1.0,1.0,1.0
49,6,fri,1.252528,1.043821,1.0370572,1.0
49,7,sat,1.09926,0.734191,0.73536235,0.0
49,8,holi,0.986174,0.910488,0.7149014,0.0
50,1,sun,0.662261,0.358439,0.6803354,0.0
50,2,mon,0.960586,0.909488,0.9383001,1.0
50,3,tuth,1.0,1.0,1.0,1.0
50,6,fri,1.044119,0.982447,1.0449054,1.0
50,7,sat,0.806469,0.520824,0.76202875,0.0
50,8,holi,0.669342,0.665957,0.75568557,0.0
51,1,sun,1.015394,0.478017,0.399608,0.0
51,2,mon,1.021868,0.941815,0.90195,1.0
51,3,tuth,1.0,1.0,1.0,1.0
51,6,fri,1.174527,1.022203,0.960526,1.0
51,7,sat,1.102954,0.602276,0.476289,0.0
51,8,holi,0.870732,0.834037,0.831769,0.0
52,1,sun,1.001748,0.593352,0.6683075,0.0
52,2,mon,1.008847,0.957537,0.9960021,1.0
52,3,tuth,1.0,1.0,1.0,1.0
52,6,fri,1.184663,1.102669,1.0600612,1.0
52,7,sat,1.055062,0.712575,0.7732537,0.0
52,8,holi,0.977001,0.896643,0.71067363,0.0
53,1,sun,0.932602,0.500295,0.56262326,0.0
53,2,mon,0.983979,0.917706,0.9576608,1.0
53,3,tuth,1.0,1.0,1.0,1.0
53,6,fri,1.12786,1.086452,1.0028338,1.0
53,7,sat,1.035008,0.656542,0.68017066,0.0
53,8,holi,0.907295,0.769997,0.63933164,0.0
54,1,sun,1.001748,0.593352,0.421376,0.0
54,2,mon,1.008847,0.957537,0.903504,1.0
54,3,tuth,1.0,1.0,1.0,1.0
54,6,fri,1.184663,1.102669,0.970233,1.0
54,7,sat,1.055062,0.712575,0.476738,0.0
54,8,holi,0.977001,0.896643,0.796876,0.0
55,1,sun,1.028995,0.429032,0.5638113,0.0
55,2,mon,1.052173,0.936376,0.95779675,1.0
55,3,tuth,1.0,1.0,1.0,1.0
55,6,fri,1.098593,1.020033,1.0321898,1.0
55,7,sat,0.992511,0.670365,0.72309846,0.0
55,8,holi,0.942483,0.584816,0.6758696,0.0
56,1,sun,1.037731,0.628665,0.412535,0.0
56,2,mon,1.064247,0.969695,0.935198,1.0
56,3,tuth,1.0,1.0,1.0,1.0
56,6,fri,1.1131,1.094418,1.047115,1.0
56,7,sat,0.98971,0.725277,0.563488,0.0
56,8,holi,0.966576,0.713716,0.668631,0.0
57,1,sun,0.809904,0.38788,0.30137,0.0
57,2,mon,1.043798,0.951756,0.912445,1.0
57,3,tuth,1.0,1.0,1.0,1.0
57,6,fri,1.080395,1.010784,0.99609,1.0
57,7,sat,0.829239,0.541504,0.561974,0.0
57,8,holi,0.810892,0.53529,0.545196,0.0
58,1,sun,0.771515,0.4056,0.5300026,0.0
58,2,mon,0.95641,0.923773,0.95577425,1.0
58,3,tuth,1.0,1.0,1.0,1.0
58,6,fri,1.03552,0.992138,1.009636,1.0
58,7,sat,0.88804,0.553989,0.7115366,0.0
58,8,holi,0.817053,0.785122,0.62841153,0.0
59,1,sun,0.858085,0.489472,0.6321621,0.0
59,2,mon,0.972675,0.935751,0.95829856,1.0
59,3,tuth,1.0,1.0,1.0,1.0
59,6,fri,1.047334,1.004693,1.0039443,1.0
59,7,sat,0.979063,0.640535,0.7830098,0.0
59,8,holi,0.863476,0.807665,0.7052278,0.0
60,1,sun,0.80821,0.414634,0.5345077,0.0
60,2,mon,0.962022,0.919607,0.9554189,1.0
60,3,tuth,1.0,1.0,1.0,1.0
60,6,fri,1.037564,1.024591,1.0029622,1.0
60,7,sat,0.939825,0.587434,0.71203154,0.0
60,8,holi,0.830532,0.773908,0.63324505,0.0
61,1,sun,0.893673,0.488924,0.6867477,0.0
61,2,mon,0.974134,0.941275,0.95745844,1.0
61,3,tuth,1.0,1.0,1.0,1.0
61,6,fri,1.08452,1.028473,1.026416,1.0
61,7,sat,1.010703,0.628996,0.82532275,0.0
61,8,holi,0.932658,0.847843,0.8424083,0.0
62,1,sun,0.890254,0.559683,0.6317989,0.0
62,2,mon,0.98753,0.930754,0.9581554,1.0
62,3,tuth,1.0,1.0,1.0,1.0
62,6,fri,1.093594,1.068981,1.0157243,1.0
62,7,sat,0.969811,0.742628,0.76789707,0.0
62,8,holi,0.941549,0.818351,0.7839722,0.0
63,1,sun,1.081633,0.608327,0.396226,0.0
63,2,mon,1.003945,0.930892,0.948242,1.0
63,3,tuth,1.0,1.0,1.0,1.0
63,6,fri,1.109219,1.161369,0.983072,1.0
63,7,sat,1.065213,0.686505,0.52206,0.0
63,8,holi,1.023563,0.813647,0.672726,0.0
64,1,sun,0.893673,0.488924,0.6867477,0.0
64,2,mon,0.974134,0.941275,0.95745844,1.0
64,3,tuth,1.0,1.0,1.0,1.0
64,6,fri,1.08452,1.028473,1.026416,1.0
64,7,sat,1.010703,0.628996,0.82532275,0.0
64,8,holi,0.932658,0.847843,0.8424083,0.0
65,1,sun,1.113413,0.6297,0.6197133,0.0
65,2,mon,1.061219,0.94165,0.9462748,1.0
65,3,tuth,1.0,1.0,1.0,1.0
65,6,fri,1.252528,1.043821,1.0370572,1.0
65,7,sat,1.09926,0.734191,0.73536235,0.0
65,8,holi,0.986174,0.910488,0.7149014,0.0
66,1,sun,0.893673,0.488924,0.6867477,0.0
66,2,mon,0.974134,0.941275,0.95745844,1.0
66,3,tuth,1.0,1.0,1.0,1.0
66,6,fri,1.08452,1.028473,1.026416,1.0
66,7,sat,1.010703,0.628996,0.82532275,0.0
66,8,holi,0.932658,0.847843,0.8424083,0.0
67,1,sun,0.893673,0.488924,0.6867477,0.0
67,2,mon,0.974134,0.941275,0.95745844,1.0
67,3,tuth,1.0,1.0,1.0,1.0
67,6,fri,1.08452,1.028473,1.026416,1.0
67,7,sat,1.010703,0.628996,0.82532275,0.0
67,8,holi,0.932658,0.847843,0.8424083,0.0
68,1,sun,0.858085,0.489472,0.6321621,0.0
68,2,mon,0.972675,0.935751,0.95829856,1.0
68,3,tuth,1.0,1.0,1.0,1.0
68,6,fri,1.047334,1.004693,1.0039443,1.0
68,7,sat,0.979063,0.640535,0.7830098,0.0
68,8,holi,0.863476,0.807665,0.7052278,0.0
69,1,sun,0.890254,0.559683,0.6317989,0.0
69,2,mon,0.98753,0.930754,0.9581554,1.0
69,3,tuth,1.0,1.0,1.0,1.0
69,6,fri,1.093594,1.068981,1.0157243,1.0
69,7,sat,0.969811,0.742628,0.76789707,0.0
69,8,holi,0.941549,0.818351,0.7839722,0.0
