CO,CO,CO,1,28,1
96,TOG,ALK4,1.0635E-03,1,0.0716250
96,TOG,ALK3,4.3772E-06,1,0.0005000
96,TOG,MEOH,1.7477E-03,1,0.0560000
96,TOG,ETOH,1.2156E-03,1,0.0560000
96,TOG,ACET,1.7218E-03,1,0.1000000
96,TOG,MEK,1.3868E-03,1,0.1000000
96,TOG,PRD2,4.9921E-04,1,0.0500000
96,TOG,ALK1,6.0302E-04,1,0.1000000
96,TOG,OXYL,9.4193E-05,1,0.0100000
96,TOG,MXYL,9.4193E-05,1,0.0100000
96,TOG,PXYL,9.4193E-05,1,0.0100000
96,TOG,ARO1,9.4193E-05,1,0.0100000
96,TOG,TOLU,4.3413E-04,1,0.0400000
100,TOG,ALK4,9.9798E-06,1,0.0010000
100,TOG,ALK5,6.0438E-03,1,0.9990000
122,TOG,CH4,5.0118E-02,1,0.8040000
122,TOG,ALK1,8.9793E-04,1,0.0270000
122,TOG,ETHE,3.1013E-03,1,0.0870000
122,TOG,PRPE,1.1882E-04,1,0.0050000
122,TOG,BENZ,9.8576E-04,1,0.0770000
127,TOG,ALK5,2.8270E-04,1,0.0300000
127,TOG,ACET,6.6633E-03,1,0.3870000
127,TOG,MEK,5.7693E-03,1,0.4160000
127,TOG,PRD2,1.6673E-03,1,0.1670000
182,TOG,ALK5,4.8276E-03,1,0.5586321
182,TOG,OLE2,2.2513E-04,1,0.0303933
182,TOG,OLE1,3.2657E-05,1,0.0046400
182,TOG,ALK4,1.6960E-03,1,0.1410916
182,TOG,MEOH,1.8725E-03,1,0.0600000
182,TOG,PRD2,2.9820E-05,1,0.0041320
182,TOG,ARO1,7.8808E-04,1,0.0900249
182,TOG,ARO2,6.1845E-04,1,0.0818643
182,TOG,B124,3.1648E-05,1,0.0038038
182,TOG,TOLU,2.7133E-05,1,0.0025000
182,TOG,OXYL,7.5354E-05,1,0.0080000
182,TOG,MXYL,1.0832E-04,1,0.0115000
182,TOG,CRES,1.8161E-05,1,0.0028050
182,TOG,APIN,3.8086E-06,1,0.0005189
182,TOG,PACD,1.4751E-07,1,0.0000216
182,TOG,TERP,1.1868E-07,1,0.0000162
182,TOG,ALK3,1.4743E-08,1,0.0000017
182,TOG,MVK,7.6866E-09,1,0.0000011
182,TOG,NROG,5.3900E-05,1,0.0000539
195,TOG,CH4,6.2336E-02,1,1.0000000
196,TOG,ALK4,5.8985E-03,1,0.4720000
196,TOG,ALK5,3.1250E-03,1,0.2610000
196,TOG,MEOH,1.2172E-03,1,0.0390000
196,TOG,ETOH,1.3024E-04,1,0.0060000
196,TOG,ACET,5.5097E-04,1,0.0320000
196,TOG,MEK,7.7663E-04,1,0.0560000
196,TOG,PRD2,1.2979E-04,1,0.0130000
196,TOG,OXYL,6.1225E-05,1,0.0065000
196,TOG,MXYL,6.1225E-05,1,0.0065000
196,TOG,PXYL,6.1225E-05,1,0.0065000
196,TOG,ARO1,4.6626E-04,1,0.0495000
196,TOG,TOLU,5.6437E-04,1,0.0520000
197,TOG,ALK5,1.4509E-03,1,0.1499560
197,TOG,OLE2,1.9942E-05,1,0.0026871
197,TOG,OLE1,2.8340E-06,1,0.0003916
197,TOG,ALK3,9.1215E-04,1,0.0530161
197,TOG,ETOH,8.0123E-03,1,0.3691109
197,TOG,ALK4,6.5210E-03,1,0.3981928
197,TOG,HCHO,1.9989E-04,1,0.0060018
197,TOG,ACET,2.4112E-04,1,0.0140042
197,TOG,PRD2,2.9336E-06,1,0.0004037
197,TOG,ARO1,1.9532E-05,1,0.0026147
197,TOG,B124,2.7776E-06,1,0.0003339
197,TOG,ARO2,8.8242E-06,1,0.0010741
197,TOG,TOLU,2.1713E-06,1,0.0002001
197,TOG,OXYL,6.5955E-06,1,0.0007002
197,TOG,MXYL,9.4221E-06,1,0.0010003
197,TOG,CRES,1.9445E-06,1,0.0003006
197,TOG,PACD,1.6395E-08,1,0.0000024
197,TOG,APIN,1.5389E-08,1,0.0000021
197,TOG,TERP,1.3190E-08,1,0.0000018
197,TOG,MVK,8.5433E-10,1,0.0000001
197,TOG,NROG,6.0000E-06,1,0.0000060
202,TOG,APIN,3.1903E-06,1,0.0004346
202,TOG,TERP,4.1500E-06,1,0.0005654
202,TOG,CH4,6.1464E-02,1,0.9860000
202,TOG,ALK1,5.1347E-05,1,0.0040000
202,TOG,ALK2,2.2678E-05,1,0.0010000
202,TOG,ALK3,5.1616E-05,1,0.0030000
202,TOG,ALK4,4.2377E-05,1,0.0030000
202,TOG,OXYL,2.3548E-06,1,0.0002500
202,TOG,MXYL,2.3548E-06,1,0.0002500
202,TOG,PXYL,2.3548E-06,1,0.0002500
202,TOG,ARO1,2.3548E-06,1,0.0002500
202,TOG,TOLU,1.0853E-05,1,0.0010000
203,TOG,CH4,4.3635E-02,1,0.7000000
203,TOG,ALK1,6.6514E-03,1,0.2000000
203,TOG,ETOH,4.3414E-04,1,0.0200000
203,TOG,ALK4,3.3281E-04,1,0.0200000
203,TOG,ALK3,1.9582E-04,1,0.0200000
203,TOG,ACET,3.4436E-04,1,0.0200000
203,TOG,ALK5,3.9098E-04,1,0.0200000
204,TOG,ALK5,2.3310E-04,1,0.0240942
204,TOG,ALK4,2.1763E-03,1,0.1339926
204,TOG,OLE1,1.2895E-05,1,0.0012662
204,TOG,PRD2,4.7775E-06,1,0.0004852
204,TOG,ALK3,1.7981E-04,1,0.0182014
204,TOG,ARO1,7.7337E-06,1,0.0021394
204,TOG,OLE2,2.4989E-04,1,0.0164318
204,TOG,ETOH,1.3820E-02,1,0.6366808
204,TOG,ALK2,2.1684E-05,1,0.0016063
204,TOG,HCHO,6.5526E-05,1,0.0019675
204,TOG,CCHO,2.9436E-03,1,0.1296758
204,TOG,RCHO,3.2509E-04,1,0.0212594
204,TOG,ACRO,8.2961E-06,1,0.0004651
204,TOG,ACET,1.1922E-04,1,0.0069242
204,TOG,TOLU,2.5169E-06,1,0.0002319
204,TOG,CRES,3.2156E-06,1,0.0003078
204,TOG,BALD,8.4955E-06,1,0.0009016
204,TOG,APIN,5.3589E-06,1,0.0007301
204,TOG,IPRD,9.9038E-08,1,0.0000069
204,TOG,MEK,6.1338E-08,1,0.0000053
204,TOG,MXYL,2.4243E-06,1,0.0002574
204,TOG,PXYL,2.4243E-06,1,0.0002574
204,TOG,TERP,9.1407E-07,1,0.0001245
204,TOG,ARO2,6.1145E-06,1,0.0007620
204,TOG,B124,1.0569E-06,1,0.0001270
204,TOG,PACD,4.1239E-07,1,0.0000603
204,TOG,MVK,2.1490E-08,1,0.0000030
204,TOG,NROG,1.0343E-03,1,0.0010343
211,TOG,ETOH,2.1707E-02,1,1.0000000
217,TOG,CH4,2.5496E-02,1,0.4090000
217,TOG,ALK1,4.6560E-04,1,0.0140000
217,TOG,ETHE,9.9811E-04,1,0.0280000
217,TOG,PRPE,1.3070E-03,1,0.0550000
217,TOG,OLE1,1.1407E-03,1,0.0640000
217,TOG,BENZ,5.5049E-03,1,0.4300000
219,TOG,ACET,1.7218E-02,1,1.0000000
220,TOG,ALK2,1.1350E-02,1,1.0000000
221,TOG,MEK,1.3868E-02,1,1.0000000
222,TOG,ALK5,7.5667E-03,1,1.0000000
223,TOG,OXYL,2.3548E-03,1,0.2500000
223,TOG,MXYL,2.3548E-03,1,0.2500000
223,TOG,PXYL,2.3548E-03,1,0.2500000
223,TOG,ARO1,2.3548E-03,1,0.2500000
224,TOG,ALK2,1.7218E-02,1,1.0000000
226,TOG,ETOH,2.1707E-02,1,1.0000000
