0,CO,CO
0,NH3,NH3
30101602,1411,TOG
30101699,311,PM
30101699,1404,TOG
30101701,311,PM
30101701,600,TOG
30101702,311,PM
30101702,1404,TOG
30101799,311,PM
30101799,1404,TOG
30101801,311,PM
30101801,510,TOG
30101802,311,PM
30101802,511,TOG
30101803,90016,PM
30101803,1414,TOG
30101805,311,PM
30101805,1405,TOG
30101807,311,PM
30101807,600,TOG
30101808,311,PM
30101808,1405,TOG
30101809,311,PM
30101809,1405,TOG
30101810,311,PM
30101810,1405,TOG
30101811,311,PM
30101811,1405,TOG
30101812,311,PM
30101812,1405,TOG
30101813,311,PM
30101813,1405,TOG
30101814,311,PM
30101814,1405,TOG
30101815,311,PM
30101815,1405,TOG
30101816,90002,PM
30101816,600,TOG
30101817,311,PM
30101817,753,TOG
30101818,311,PM
30101818,753,TOG
30101819,311,PM
30101819,1405,TOG
30101820,311,PM
30101820,1405,TOG
30101821,311,PM
30101821,750,TOG
30101822,311,PM
30101822,1405,TOG
30101827,311,PM
30101827,1405,TOG
30101832,312,PM
30101832,1405,TOG
30101837,311,PM
30101837,600,TOG
30101838,311,PM
30101838,1405,TOG
30101839,311,PM
30101839,1405,TOG
30101840,2204,PM
30101840,600,TOG
30101841,900,PM
30101841,600,TOG
30101842,90016,PM
30101842,1414,TOG
30101847,311,PM
30101847,1405,TOG
30101849,311,PM
30101849,600,TOG
30101852,311,PM
30101852,600,TOG
30101860,311,PM
30101860,511,TOG
30101863,311,PM
30101863,1405,TOG
30101864,311,PM
30101864,1405,TOG
30101865,311,PM
30101865,511,TOG
30101866,311,PM
30101866,511,TOG
30101871,311,PM
30101871,768,TOG
30101872,311,PM
30101872,1405,TOG
30101880,311,PM
30101880,1405,TOG
30101881,311,PM
30101881,768,TOG
30101882,311,PM
30101882,524,TOG
30101883,311,PM
30101883,1405,TOG
30101885,311,PM
30101885,1405,TOG
30101890,311,PM
30101890,1405,TOG
30101891,311,PM
30101891,1405,TOG
30101892,311,PM
30101892,1405,TOG
30101893,311,PM
30101893,1405,TOG
30101894,90002,PM
30101894,1405,TOG
30101899,311,PM
30101899,1405,TOG
30101901,311,PM
30101901,763,TOG
30101903,311,PM
30101903,763,TOG
30101907,311,PM
30101907,763,TOG
30102001,311,PM
30102001,72,TOG
30102002,311,PM
30102002,72,TOG
30102003,311,PM
30102003,72,TOG
30102004,311,PM
30102004,72,TOG
