0,PM10,PM10
0,PM25,PM25
0,DPM10,DPM10
0,DPM25,DPM25
0,CO,CO
0,NH3,NH3
0,SOX,SOX
0,DEFNOX,NOX
76272054100000,473,PM
76272054100000,600,TOG
76273111000000,4001,PM
76273111000000,2302,TOG
76273411000000,4001,PM
76273411000000,2304,TOG
76273611000000,2204,PM
76273611000000,2315,TOG
76273811000000,2204,PM
76273811000000,2317,TOG
76274011000000,2204,PM
76274011000000,2315,TOG
76274211000000,2204,PM
76274211000000,2317,TOG
76274402480000,472,PM
76274402480000,600,TOG
76274654100000,473,PM
76274654100000,600,TOG
77070111000000,4002,PM
77070111000000,666,TOG
77070611000000,4002,PM
77070611000000,665,TOG
77070711000000,4002,PM
77070711000000,665,TOG
77070811000000,2204,PM
77070811000000,2315,TOG
77071011000000,2204,PM
77071011000000,2317,TOG
77071211000000,2204,PM
77071211000000,2315,TOG
77071411000000,2204,PM
77071411000000,2317,TOG
77071611000000,4002,PM
77071611000000,665,TOG
77071802480000,472,PM
77071802480000,600,TOG
77072054100000,473,PM
77072054100000,600,TOG
77073111000000,4001,PM
77073111000000,2302,TOG
77073411000000,4001,PM
77073411000000,2304,TOG
77073511000000,4001,PM
77073511000000,2304,TOG
77073611000000,2204,PM
77073611000000,2315,TOG
77073811000000,2204,PM
77073811000000,2317,TOG
77074011000000,2204,PM
77074011000000,2315,TOG
77074211000000,2204,PM
77074211000000,2317,TOG
77074402480000,472,PM
77074402480000,600,TOG
77074654100000,473,PM
77074654100000,600,TOG
77076112100000,425,PM
77076112100000,818,TOG
77076412100000,425,PM
77076412100000,818,TOG
77076512100000,425,PM
77076512100000,818,TOG
77076602480000,472,PM
77076602480000,600,TOG
77076854100000,473,PM
77076854100000,600,TOG
77170111000000,4002,PM
77170111000000,666,TOG
77170611000000,4002,PM
77170611000000,665,TOG
77170711000000,4002,PM
77170711000000,665,TOG
77170811000000,2204,PM
77170811000000,2315,TOG
77171011000000,2204,PM
77171011000000,2317,TOG
77171211000000,2204,PM
77171211000000,2315,TOG
77171411000000,2204,PM
77171411000000,2317,TOG
77171802480000,472,PM
77171802480000,600,TOG
77172054100000,473,PM
77172054100000,600,TOG
77173111000000,4001,PM
77173111000000,2302,TOG
77173411000000,4001,PM
77173411000000,2304,TOG
77173511000000,4001,PM
77173511000000,2304,TOG
77173611000000,2204,PM
77173611000000,2315,TOG
77173811000000,2204,PM
77173811000000,2317,TOG
77174011000000,2204,PM
77174011000000,2315,TOG
77174211000000,2204,PM
77174211000000,2317,TOG
77174402480000,472,PM
77174402480000,600,TOG
77174654100000,473,PM
77174654100000,600,TOG
77276112100000,425,PM
77276112100000,818,TOG
77276412100000,7125,PM
77276412100000,818,TOG
77276512100000,7124,PM
77276512100000,818,TOG
77276602480000,472,PM
77276602480000,600,TOG
77276854100000,473,PM
77276854100000,600,TOG
77670111000000,4002,PM
77670111000000,666,TOG
77670611000000,4002,PM
77670611000000,665,TOG
77670711000000,4002,PM
77670711000000,665,TOG
77670811000000,2204,PM
77670811000000,2315,TOG
77671011000000,2204,PM
77671011000000,2317,TOG
77671211000000,2204,PM
77671211000000,2315,TOG
77671411000000,2204,PM
77671411000000,2317,TOG
77671611000000,4002,PM
77671611000000,665,TOG
77671802480000,472,PM
77671802480000,600,TOG
77672054100000,473,PM
77672054100000,600,TOG
77673111000000,4001,PM
77673111000000,2302,TOG
77673411000000,4001,PM
77673411000000,2304,TOG
77673511000000,4001,PM
77673511000000,2304,TOG
77673611000000,2204,PM
77673611000000,2315,TOG
77673811000000,2204,PM
77673811000000,2317,TOG
77674011000000,2204,PM
77674011000000,2315,TOG
77674211000000,2204,PM
77674211000000,2317,TOG
77674402480000,472,PM
77674402480000,600,TOG
77674654100000,473,PM
77674654100000,600,TOG
77676112100000,425,PM
77676112100000,818,TOG
77676412100000,425,PM
77676412100000,818,TOG
77676512100000,425,PM
77676512100000,818,TOG
77676602480000,472,PM
77676602480000,600,TOG
77676854100000,473,PM
77676854100000,600,TOG
77770111000000,4002,PM
77770111000000,666,TOG
77770611000000,4002,PM
77770611000000,665,TOG
77770711000000,4002,PM
77770711000000,665,TOG
77770811000000,2204,PM
77770811000000,2315,TOG
77771011000000,2204,PM
77771011000000,2317,TOG
77771211000000,2204,PM
77771211000000,2315,TOG
77771411000000,2204,PM
77771411000000,2317,TOG
77771802480000,472,PM
77771802480000,600,TOG
77772054100000,473,PM
77772054100000,600,TOG
77773111000000,4001,PM
77773111000000,2302,TOG
77773411000000,4001,PM
77773411000000,2304,TOG
77773511000000,4001,PM
77773511000000,2304,TOG
77773611000000,2204,PM
77773611000000,2315,TOG
77773811000000,2204,PM
77773811000000,2317,TOG
77774011000000,2204,PM
77774011000000,2315,TOG
77774211000000,2204,PM
77774211000000,2317,TOG
77774402480000,472,PM
77774402480000,600,TOG
77774654100000,473,PM
77774654100000,600,TOG
77876112100000,425,PM
77876112100000,818,TOG
77876412100000,7127,PM
77876412100000,818,TOG
77876512100000,7126,PM
77876512100000,818,TOG
77876602480000,472,PM
77876602480000,600,TOG
77876854100000,473,PM
77876854100000,600,TOG
77976112100000,425,PM
77976112100000,818,TOG
77976412100000,7127,PM
77976412100000,818,TOG
77976512100000,7126,PM
77976512100000,818,TOG
77976602480000,472,PM
77976602480000,600,TOG
77976854100000,473,PM
77976854100000,600,TOG
78070111000000,4002,PM
78070111000000,666,TOG
78070611000000,4002,PM
78070611000000,665,TOG
78070811000000,2204,PM
78070811000000,2315,TOG
78071011000000,2204,PM
78071011000000,2317,TOG
78071211000000,2204,PM
78071211000000,2315,TOG
78071411000000,2204,PM
78071411000000,2317,TOG
78071611000000,4002,PM
78071611000000,665,TOG
78071802480000,472,PM
78071802480000,600,TOG
78072054100000,473,PM
78072054100000,600,TOG
78073111000000,4001,PM
78073111000000,2302,TOG
78073411000000,4001,PM
78073411000000,2304,TOG
78073611000000,2204,PM
78073611000000,2315,TOG
78073811000000,2204,PM
78073811000000,2317,TOG
78074011000000,2204,PM
78074011000000,2315,TOG
78074211000000,2204,PM
78074211000000,2317,TOG
78074402480000,472,PM
78074402480000,600,TOG
78074654100000,473,PM
78074654100000,600,TOG
78076112100000,425,PM
78076112100000,818,TOG
78076412100000,425,PM
78076412100000,818,TOG
78076602480000,472,PM
78076602480000,600,TOG
78076854100000,473,PM
78076854100000,600,TOG
